time;res_p;res_rho;res_vx;res_vy;res_vz;elapsed_time
1.535;2.96491e-06;2.96491e-06;1.10743e-06;1.46744e-06;1.30343e-06;0.692154
1.54;3.77512e-06;3.77512e-06;1.37454e-06;1.6582e-06;1.43431e-06;0.704758
1.545;4.59709e-06;4.59709e-06;1.6103e-06;1.90772e-06;1.68104e-06;0.705378
1.55;9.41178e-08;9.41178e-08;1.00386e-07;1.36312e-07;7.72237e-08;0.88253
1.555;2.48653e-07;2.48653e-07;1.33581e-07;2.35699e-07;2.50471e-07;0.819126
1.56;5.3874e-07;5.3874e-07;2.51362e-07;3.16812e-07;3.86155e-07;0.794778
1.565;8.99333e-07;8.99333e-07;3.97592e-07;5.90404e-07;5.34615e-07;0.696062
1.57;1.33383e-06;1.33383e-06;5.09511e-07;7.97856e-07;6.63016e-07;0.691937
1.575;1.92526e-06;1.92526e-06;6.86674e-07;9.99725e-07;7.92832e-07;0.707503
1.58;2.50081e-06;2.50081e-06;9.42091e-07;1.17767e-06;9.34978e-07;0.701498
1.585;3.20148e-06;3.20148e-06;1.13558e-06;1.45681e-06;1.15857e-06;0.699083
1.59;3.94491e-06;3.94491e-06;1.40894e-06;1.64069e-06;1.35132e-06;0.695401
1.595;4.76542e-06;4.76542e-06;1.62384e-06;1.77786e-06;1.59847e-06;0.714613
1.6;7.04599e-08;7.04599e-08;6.6201e-08;6.17763e-08;2.09031e-08;1.03523
1.605;3.06604e-07;3.06604e-07;2.60837e-07;1.59895e-07;1.83498e-07;0.695068
1.61;5.64272e-07;5.64272e-07;4.80204e-07;3.02478e-07;3.36275e-07;0.720799
1.615;8.76564e-07;8.76564e-07;5.80895e-07;4.72599e-07;4.78079e-07;0.700484
1.62;1.31979e-06;1.31979e-06;7.40783e-07;6.67142e-07;6.14862e-07;0.693703
1.625;1.89824e-06;1.89824e-06;9.68719e-07;7.75459e-07;7.75921e-07;0.70181
1.63;2.476e-06;2.476e-06;1.19092e-06;1.04096e-06;9.88465e-07;0.723515
1.635;3.20747e-06;3.20747e-06;1.35546e-06;1.26276e-06;1.27676e-06;0.69904
1.64;3.95917e-06;3.95917e-06;1.55581e-06;1.4147e-06;1.43804e-06;0.717711
1.645;4.78014e-06;4.78014e-06;1.74907e-06;1.65678e-06;1.64951e-06;0.711012
1.65;8.69014e-08;8.69014e-08;7.04539e-08;7.25438e-08;4.41829e-08;0.927624
1.655;2.4134e-07;2.4134e-07;1.90235e-07;1.76847e-07;1.2587e-07;0.790086
1.66;4.97451e-07;4.97451e-07;3.12149e-07;2.91704e-07;3.11496e-07;0.705644
1.665;8.41937e-07;8.41937e-07;4.3738e-07;4.18011e-07;3.9327e-07;0.733021
1.67;1.23957e-06;1.23957e-06;5.81443e-07;5.01184e-07;4.91858e-07;0.746819
1.675;1.81887e-06;1.81887e-06;6.91738e-07;6.83059e-07;6.31962e-07;0.717119
1.68;2.4267e-06;2.4267e-06;8.07445e-07;7.83215e-07;7.82766e-07;0.784316
1.685;3.09447e-06;3.09447e-06;9.97854e-07;9.23857e-07;9.28953e-07;1.04077
1.69;3.89234e-06;3.89234e-06;1.29163e-06;1.14265e-06;1.14392e-06;0.87699
1.695;4.69507e-06;4.69507e-06;1.41029e-06;1.33245e-06;1.30554e-06;0.803512
1.7;1.02943e-07;1.02943e-07;4.29774e-08;6.21989e-08;9.03753e-08;0.911052
1.705;2.50724e-07;2.50724e-07;7.88004e-08;9.64259e-08;1.16151e-07;0.790806
1.71;5.11789e-07;5.11789e-07;1.68849e-07;1.77668e-07;2.05266e-07;0.756565
1.715;8.48083e-07;8.48083e-07;2.88629e-07;2.99524e-07;2.84061e-07;0.757091
